"species","region","occ","model","value","metric","time"
"nz04","NZ","48","Regression","0.802409828099574","AUC","4.70000000000005"
"nz04","NZ","48","Regression","0.285721555312435","COR","4.70000000000005"
"nz04","NZ","48","Equal-sample","0.906083327619601","AUC","0.803000000000111"
"nz04","NZ","48","Equal-sample","0.454089994254286","COR","0.803000000000111"
"nz04","NZ","48","Default","0.789892079795974","AUC","1.43500000000017"
"nz04","NZ","48","Default","0.271180444900912","COR","1.43500000000017"
"nz04","NZ","48","Down-sample","0.907762696318892","AUC","0.396000000000186"
"nz04","NZ","48","Down-sample","0.474688836020726","COR","0.396000000000186"
"nz04","NZ","48","Weighted","0.83821077297004","AUC","1.77099999999996"
"nz04","NZ","48","Weighted","0.355943665562123","COR","1.77099999999996"
"nz04","NZ","48","ranger","0.909289449735717","AUC","0.239000000000033"
"nz04","NZ","48","ranger","0.460132533491185","COR","0.239000000000033"
"nz04","NZ","48","ranger-tuned","0.909514574321207","AUC","5.8599999999999"
"nz04","NZ","48","ranger-tuned","0.482407415491246","COR","5.8599999999999"
