"species","region","occ","model","value","metric","time"
"swi20","SWI","613","Regression","0.780866086735126","AUC","86.2439999999997"
"swi20","SWI","613","Regression","0.160026217584841","COR","86.2439999999997"
"swi20","SWI","613","Equal-sample","0.79897537273463","AUC","11.2579999999998"
"swi20","SWI","613","Equal-sample","0.18361166328485","COR","11.2579999999998"
"swi20","SWI","613","Default","0.775860181615579","AUC","11.2179999999998"
"swi20","SWI","613","Default","0.156846100295955","COR","11.2179999999998"
"swi20","SWI","613","Down-sample","0.797914989004098","AUC","2.60100000000057"
"swi20","SWI","613","Down-sample","0.183984595568475","COR","2.60100000000057"
"swi20","SWI","613","Weighted","0.780412502338954","AUC","13.7480000000005"
"swi20","SWI","613","Weighted","0.163934860474249","COR","13.7480000000005"
"swi20","SWI","613","ranger","0.786647157171649","AUC","1.08300000000054"
"swi20","SWI","613","ranger","0.170253643615923","COR","1.08300000000054"
"swi20","SWI","613","ranger-tuned","0.79604042601708","AUC","26.6550000000007"
"swi20","SWI","613","ranger-tuned","0.179688910432059","COR","26.6550000000007"
