"species","region","occ","model","value","metric","time"
"awt31","AWT","14","Regression","0.433870967741935","AUC","0.381"
"awt31","AWT","14","Regression","-0.113297024333669","COR","0.381"
"awt31","AWT","14","Equal-sample","0.53951612903226","AUC","0.170999999999992"
"awt31","AWT","14","Equal-sample","0.0767204112503928","COR","0.170999999999992"
"awt31","AWT","14","Default","0.439516129032258","AUC","0.160000000000025"
"awt31","AWT","14","Default","-0.0689852007497766","COR","0.160000000000025"
"awt31","AWT","14","Down-sample","0.57721774193548","AUC","0.0440000000000111"
"awt31","AWT","14","Down-sample","0.150462190409417","COR","0.0440000000000111"
"awt31","AWT","14","Weighted","0.648991935483871","AUC","0.192000000000007"
"awt31","AWT","14","Weighted","0.218230767952887","COR","0.192000000000007"
"awt31","AWT","14","ranger","0.635483870967738","AUC","0.0719999999999743"
"awt31","AWT","14","ranger","0.191858142914117","COR","0.0719999999999743"
"awt31","AWT","14","ranger-tuned","0.637903225806447","AUC","1.87700000000001"
"awt31","AWT","14","ranger-tuned","0.169079841092478","COR","1.87700000000001"
