"species","region","occ","model","value","metric","time"
"awt32","AWT","74","Regression","0.455721003134796","AUC","0.524000000000001"
"awt32","AWT","74","Regression","-0.00696547431968018","COR","0.524000000000001"
"awt32","AWT","74","Equal-sample","0.557210031347963","AUC","1.16"
"awt32","AWT","74","Equal-sample","0.12063578673167","COR","1.16"
"awt32","AWT","74","Default","0.475901253918497","AUC","0.287000000000006"
"awt32","AWT","74","Default","-0.00413075307383629","COR","0.287000000000006"
"awt32","AWT","74","Down-sample","0.536637931034485","AUC","0.146999999999991"
"awt32","AWT","74","Down-sample","0.0811214245116591","COR","0.146999999999991"
"awt32","AWT","74","Weighted","0.622452978056427","AUC","0.310000000000002"
"awt32","AWT","74","Weighted","0.198509771844579","COR","0.310000000000002"
"awt32","AWT","74","ranger","0.517241379310346","AUC","0.11699999999999"
"awt32","AWT","74","ranger","0.0593856109791708","COR","0.11699999999999"
"awt32","AWT","74","ranger-tuned","0.521551724137931","AUC","2.05700000000002"
"awt32","AWT","74","ranger-tuned","0.0647826873161828","COR","2.05700000000002"
