"species","region","occ","model","value","metric","time"
"nz10","NZ","27","Regression","0.760647771960693","AUC","4.14599999999996"
"nz10","NZ","27","Regression","0.241999230703414","COR","4.14599999999996"
"nz10","NZ","27","Equal-sample","0.766637786540482","AUC","0.319999999999936"
"nz10","NZ","27","Equal-sample","0.197918760974868","COR","0.319999999999936"
"nz10","NZ","27","Default","0.767943338596148","AUC","1.07899999999995"
"nz10","NZ","27","Default","0.259180385918372","COR","1.07899999999995"
"nz10","NZ","27","Down-sample","0.773934129955518","AUC","0.180000000000064"
"nz10","NZ","27","Down-sample","0.215245171244084","COR","0.180000000000064"
"nz10","NZ","27","Weighted","0.583306494262316","AUC","1.35899999999992"
"nz10","NZ","27","Weighted","0.0608522262967808","COR","1.35899999999992"
"nz10","NZ","27","ranger","0.7409658937014","AUC","0.219000000000051"
"nz10","NZ","27","ranger","0.161182598950853","COR","0.219000000000051"
"nz10","NZ","27","ranger-tuned","0.708945489150373","AUC","5.44699999999989"
"nz10","NZ","27","ranger-tuned","0.164773060519975","COR","5.44699999999989"
