"species","region","occ","model","value","metric","time"
"nsw01","NSW","26","Regression","0.775796296296296","AUC","0.228999999999928"
"nsw01","NSW","26","Regression","0.345375494544347","COR","0.228999999999928"
"nsw01","NSW","26","Equal-sample","0.786861111111111","AUC","0.528999999999996"
"nsw01","NSW","26","Equal-sample","0.379425973753916","COR","0.528999999999996"
"nsw01","NSW","26","Default","0.782055555555551","AUC","0.142999999999915"
"nsw01","NSW","26","Default","0.345054723594713","COR","0.142999999999915"
"nsw01","NSW","26","Down-sample","0.805638888888889","AUC","0.071999999999889"
"nsw01","NSW","26","Down-sample","0.407646818069758","COR","0.071999999999889"
"nsw01","NSW","26","Weighted","0.748574074074073","AUC","0.157000000000039"
"nsw01","NSW","26","Weighted","0.303656761682973","COR","0.157000000000039"
"nsw01","NSW","26","ranger","0.813092592592593","AUC","0.0469999999999118"
"nsw01","NSW","26","ranger","0.417779439566701","COR","0.0469999999999118"
"nsw01","NSW","26","ranger-tuned","0.818703703703704","AUC","1.55600000000004"
"nsw01","NSW","26","ranger-tuned","0.445197599294113","COR","1.55600000000004"
