"species","region","occ","model","value","metric","time"
"awt30","AWT","66","Regression","0.386034255599473","AUC","0.49199999999999"
"awt30","AWT","66","Regression","-0.144350576199842","COR","0.49199999999999"
"awt30","AWT","66","Equal-sample","0.509881422924904","AUC","0.879999999999995"
"awt30","AWT","66","Equal-sample","0.0156818140669584","COR","0.879999999999995"
"awt30","AWT","66","Default","0.393280632411068","AUC","0.277999999999992"
"awt30","AWT","66","Default","-0.137855839372195","COR","0.277999999999992"
"awt30","AWT","66","Down-sample","0.457180500658764","AUC","0.129999999999995"
"awt30","AWT","66","Down-sample","-0.0473695766032513","COR","0.129999999999995"
"awt30","AWT","66","Weighted","0.510101010101012","AUC","0.313999999999993"
"awt30","AWT","66","Weighted","0.0106887281583131","COR","0.313999999999993"
"awt30","AWT","66","ranger","0.528765920070268","AUC","0.0629999999999882"
"awt30","AWT","66","ranger","0.0282715679976984","COR","0.0629999999999882"
"awt30","AWT","66","ranger-tuned","0.526130873956959","AUC","2.06100000000001"
"awt30","AWT","66","ranger-tuned","0.0344854773254389","COR","2.06100000000001"
