"species","region","occ","model","value","metric","time"
"nz09","NZ","36","Regression","0.689964082655539","AUC","4.34800000000018"
"nz09","NZ","36","Regression","0.0580213391574054","COR","4.34800000000018"
"nz09","NZ","36","Equal-sample","0.712720264964527","AUC","0.442000000000007"
"nz09","NZ","36","Equal-sample","0.0740772686289416","COR","0.442000000000007"
"nz09","NZ","36","Default","0.690139310120435","AUC","1.34199999999987"
"nz09","NZ","36","Default","0.0576298908186249","COR","1.34199999999987"
"nz09","NZ","36","Down-sample","0.719214701768097","AUC","0.192999999999984"
"nz09","NZ","36","Down-sample","0.0740755133582637","COR","0.192999999999984"
"nz09","NZ","36","Weighted","0.669743739322279","AUC","1.50199999999995"
"nz09","NZ","36","Weighted","0.0242467802297099","COR","1.50199999999995"
"nz09","NZ","36","ranger","0.722032178179013","AUC","0.241000000000213"
"nz09","NZ","36","ranger","0.0853669804256201","COR","0.241000000000213"
"nz09","NZ","36","ranger-tuned","0.720291046574493","AUC","5.70299999999997"
"nz09","NZ","36","ranger-tuned","0.0841534589242901","COR","5.70299999999997"
