"species","region","occ","model","value","metric","time"
"sa07","SA","17","Regression","0.828559027777778","AUC","1.51399999999967"
"sa07","SA","17","Regression","0.16491434635564","COR","1.51399999999967"
"sa07","SA","17","Equal-sample","0.917534722222222","AUC","0.164999999999964"
"sa07","SA","17","Equal-sample","0.376100144902984","COR","0.164999999999964"
"sa07","SA","17","Default","0.805555555555556","AUC","0.619999999999891"
"sa07","SA","17","Default","0.164240655841236","COR","0.619999999999891"
"sa07","SA","17","Down-sample","0.912326388888889","AUC","0.0769999999997708"
"sa07","SA","17","Down-sample","0.377511874812529","COR","0.0769999999997708"
"sa07","SA","17","Weighted","0.848958333333336","AUC","0.413000000000011"
"sa07","SA","17","Weighted","0.272353973918027","COR","0.413000000000011"
"sa07","SA","17","ranger","0.879340277777779","AUC","0.159000000000106"
"sa07","SA","17","ranger","0.354172946513754","COR","0.159000000000106"
"sa07","SA","17","ranger-tuned","0.886284722222222","AUC","3.40999999999985"
"sa07","SA","17","ranger-tuned","0.35517872894736","COR","3.40999999999985"
