"species","region","occ","model","value","metric","time"
"can12","CAN","312","Regression","0.810501657774335","AUC","9.04199999999992"
"can12","CAN","312","Regression","0.390113280509969","COR","9.04199999999992"
"can12","CAN","312","Equal-sample","0.837315537715773","AUC","3.90100000000007"
"can12","CAN","312","Equal-sample","0.404592880025732","COR","3.90100000000007"
"can12","CAN","312","Default","0.806594869468572","AUC","2.24900000000002"
"can12","CAN","312","Default","0.382112259062266","COR","2.24900000000002"
"can12","CAN","312","Down-sample","0.833302935273579","AUC","0.716000000000008"
"can12","CAN","312","Down-sample","0.412241997685898","COR","0.716000000000008"
"can12","CAN","312","Weighted","0.80931927605251","AUC","2.41899999999998"
"can12","CAN","312","Weighted","0.382504768908583","COR","2.41899999999998"
"can12","CAN","312","ranger","0.850368173075299","AUC","0.379999999999995"
"can12","CAN","312","ranger","0.450148247107794","COR","0.379999999999995"
"can12","CAN","312","ranger-tuned","0.850004645593862","AUC","7.93700000000001"
"can12","CAN","312","ranger-tuned","0.450595533858608","COR","7.93700000000001"
