"species","region","occ","model","value","metric","time"
"nz25","NZ","113","Regression","0.889600078326811","AUC","5.43999999999983"
"nz25","NZ","113","Regression","0.266730388097149","COR","5.43999999999983"
"nz25","NZ","113","Equal-sample","0.904179095926023","AUC","1.56099999999992"
"nz25","NZ","113","Equal-sample","0.247007856623469","COR","1.56099999999992"
"nz25","NZ","113","Default","0.887156594891742","AUC","1.74499999999989"
"nz25","NZ","113","Default","0.260413021638516","COR","1.74499999999989"
"nz25","NZ","113","Down-sample","0.897252407892926","AUC","0.367999999999938"
"nz25","NZ","113","Down-sample","0.253372677231339","COR","0.367999999999938"
"nz25","NZ","113","Weighted","0.838496902330567","AUC","2.06899999999996"
"nz25","NZ","113","Weighted","0.222397716848072","COR","2.06899999999996"
"nz25","NZ","113","ranger","0.88842704382904","AUC","0.286000000000058"
"nz25","NZ","113","ranger","0.229175070860888","COR","0.286000000000058"
"nz25","NZ","113","ranger-tuned","0.897468366101419","AUC","5.56999999999994"
"nz25","NZ","113","ranger-tuned","0.249066109070191","COR","5.56999999999994"
