"species","region","occ","model","value","metric","time"
"awt08","AWT","231","Regression","0.922800330804351","AUC","1.346"
"awt08","AWT","231","Regression","0.708023762735667","COR","1.346"
"awt08","AWT","231","Equal-sample","0.930405235338534","AUC","3.46600000000001"
"awt08","AWT","231","Equal-sample","0.748163107819125","COR","3.46600000000001"
"awt08","AWT","231","Default","0.912948114055598","AUC","0.847999999999999"
"awt08","AWT","231","Default","0.686363164611548","COR","0.847999999999999"
"awt08","AWT","231","Down-sample","0.931376074215242","AUC","0.427999999999997"
"awt08","AWT","231","Down-sample","0.741795857649506","COR","0.427999999999997"
"awt08","AWT","231","Weighted","0.913379598000792","AUC","0.855999999999995"
"awt08","AWT","231","Weighted","0.690253887733144","COR","0.855999999999995"
"awt08","AWT","231","ranger","0.938873107763111","AUC","0.122"
"awt08","AWT","231","ranger","0.754756065527509","COR","0.122"
"awt08","AWT","231","ranger-tuned","0.932077235626174","AUC","3.15799999999999"
"awt08","AWT","231","ranger-tuned","0.730698521345985","COR","3.15799999999999"
