"species","region","occ","model","value","metric","time"
"awt27","AWT","41","Regression","0.551604938271602","AUC","0.436000000000007"
"awt27","AWT","41","Regression","0.0464442098421802","COR","0.436000000000007"
"awt27","AWT","41","Equal-sample","0.70444444444444","AUC","0.515999999999991"
"awt27","AWT","41","Equal-sample","0.315230663595142","COR","0.515999999999991"
"awt27","AWT","41","Default","0.572098765432095","AUC","0.225999999999999"
"awt27","AWT","41","Default","0.0611682394765471","COR","0.225999999999999"
"awt27","AWT","41","Down-sample","0.649135802469135","AUC","0.103999999999985"
"awt27","AWT","41","Down-sample","0.240611627448626","COR","0.103999999999985"
"awt27","AWT","41","Weighted","0.696049382716053","AUC","0.260999999999996"
"awt27","AWT","41","Weighted","0.341616778836992","COR","0.260999999999996"
"awt27","AWT","41","ranger","0.789135802469131","AUC","0.0579999999999927"
"awt27","AWT","41","ranger","0.388455415501922","COR","0.0579999999999927"
"awt27","AWT","41","ranger-tuned","0.771358024691356","AUC","2.005"
"awt27","AWT","41","ranger-tuned","0.35700959732131","COR","2.005"
