"species","region","occ","model","value","metric","time"
"nsw53","NSW","34","Regression","0.774757428172311","AUC","0.967000000000098"
"nsw53","NSW","34","Regression","0.193836880902399","COR","0.967000000000098"
"nsw53","NSW","34","Equal-sample","0.775248234983199","AUC","1.10500000000002"
"nsw53","NSW","34","Equal-sample","0.156892101144395","COR","1.10500000000002"
"nsw53","NSW","34","Default","0.777947672443085","AUC","0.499000000000024"
"nsw53","NSW","34","Default","0.203869816338624","COR","0.499000000000024"
"nsw53","NSW","34","Down-sample","0.791180579152036","AUC","0.164999999999964"
"nsw53","NSW","34","Down-sample","0.170801310041606","COR","0.164999999999964"
"nsw53","NSW","34","Weighted","0.795333559859553","AUC","0.750999999999976"
"nsw53","NSW","34","Weighted","0.254541361782857","COR","0.750999999999976"
"nsw53","NSW","34","ranger","0.772416657228074","AUC","0.0749999999998181"
"nsw53","NSW","34","ranger","0.167162111440994","COR","0.0749999999998181"
"nsw53","NSW","34","ranger-tuned","0.771435043606298","AUC","2.45299999999997"
"nsw53","NSW","34","ranger-tuned","0.162404883074029","COR","2.45299999999997"
