"species","region","occ","model","value","metric","time"
"nz02","NZ","80","Regression","0.702288295594038","AUC","324.157999999996"
"nz02","NZ","80","Regression","0.130766751613403","COR","324.157999999996"
"nz02","NZ","80","Equal-sample","0.820623900112409","AUC","1.15199999999459"
"nz02","NZ","80","Equal-sample","0.466942807326919","COR","1.15199999999459"
"nz02","NZ","80","Default","0.64686893450766","AUC","38.4210000000021"
"nz02","NZ","80","Default","0.119758976149428","COR","38.4210000000021"
"nz02","NZ","80","Down-sample","0.790916165403578","AUC","4.36899999999878"
"nz02","NZ","80","Down-sample","0.441640611517581","COR","4.36899999999878"
"nz02","NZ","80","Weighted","0.719187389488745","AUC","51.2669999999998"
"nz02","NZ","80","Weighted","0.248550404974597","COR","51.2669999999998"
"nz02","NZ","80","ranger","0.82286911285838","AUC","3.84199999999691"
"nz02","NZ","80","ranger","0.48273813605518","COR","3.84199999999691"
"nz02","NZ","80","ranger-tuned","0.811295885253565","AUC","92.9040000000023"
"nz02","NZ","80","ranger-tuned","0.401793298442435","COR","92.9040000000023"
