"species","region","occ","model","value","metric","time"
"nsw23","NSW","60","Regression","0.650593652037617","AUC","237.493999999999"
"nsw23","NSW","60","Regression","0.123857517488614","COR","237.493999999999"
"nsw23","NSW","60","Equal-sample","0.734645376175547","AUC","1.85399999999936"
"nsw23","NSW","60","Equal-sample","0.343756038230357","COR","1.85399999999936"
"nsw23","NSW","60","Default","0.596496865203757","AUC","37.8790000000008"
"nsw23","NSW","60","Default","0.119547527657525","COR","37.8790000000008"
"nsw23","NSW","60","Down-sample","0.725908437826543","AUC","4.73500000000058"
"nsw23","NSW","60","Down-sample","0.331525277640701","COR","4.73500000000058"
"nsw23","NSW","60","Weighted","0.588055773249741","AUC","50.2640000000029"
"nsw23","NSW","60","Weighted","0.110582938148378","COR","50.2640000000029"
"nsw23","NSW","60","ranger","0.739077194357367","AUC","4.41899999999441"
"nsw23","NSW","60","ranger","0.312331207882202","COR","4.41899999999441"
"nsw23","NSW","60","ranger-tuned","0.740217476489029","AUC","96.2129999999961"
"nsw23","NSW","60","ranger-tuned","0.285884908638404","COR","96.2129999999961"
