"species","region","occ","model","value","metric","time"
"nz29","NZ","21","Regression","0.614443920514202","AUC","156.508000000002"
"nz29","NZ","21","Regression","0.0332071785084797","COR","156.508000000002"
"nz29","NZ","21","Equal-sample","0.654818584991572","AUC","0.364999999997963"
"nz29","NZ","21","Equal-sample","0.207336545956018","COR","0.364999999997963"
"nz29","NZ","21","Default","0.535898602477808","AUC","32.7989999999991"
"nz29","NZ","21","Default","0.0283054075924636","COR","32.7989999999991"
"nz29","NZ","21","Down-sample","0.665159167951189","AUC","4.18499999999767"
"nz29","NZ","21","Down-sample","0.223010447601176","COR","4.18499999999767"
"nz29","NZ","21","Weighted","0.546523501822058","AUC","39"
"nz29","NZ","21","Weighted","0.0362978460542175","COR","39"
"nz29","NZ","21","ranger","0.622657071791858","AUC","4.09499999999389"
"nz29","NZ","21","ranger","0.166895883746474","COR","4.09499999999389"
"nz29","NZ","21","ranger-tuned","0.646512321178269","AUC","89.1010000000024"
"nz29","NZ","21","ranger-tuned","0.174739377203559","COR","89.1010000000024"
