"species","region","occ","model","value","metric","time"
"awt13","AWT","122","Regression","0.703472565496787","AUC","178.868"
"awt13","AWT","122","Regression","0.272843418554427","COR","178.868"
"awt13","AWT","122","Equal-sample","0.754407645411107","AUC","1.46100000000024"
"awt13","AWT","122","Equal-sample","0.39220697049047","COR","1.46100000000024"
"awt13","AWT","122","Default","0.695542923051577","AUC","28.6120000000001"
"awt13","AWT","122","Default","0.259107455432692","COR","28.6120000000001"
"awt13","AWT","122","Down-sample","0.755416872631405","AUC","4.01999999999953"
"awt13","AWT","122","Down-sample","0.401681817790098","COR","4.01999999999953"
"awt13","AWT","122","Weighted","0.699703410776076","AUC","32.665"
"awt13","AWT","122","Weighted","0.247003271523012","COR","32.665"
"awt13","AWT","122","ranger","0.745242214532874","AUC","5.73999999999978"
"awt13","AWT","122","ranger","0.307697927176153","COR","5.73999999999978"
"awt13","AWT","122","ranger-tuned","0.722812654473555","AUC","107.478"
"awt13","AWT","122","ranger-tuned","0.188859632749215","COR","107.478"
