"species","region","occ","model","value","metric","time"
"can05","CAN","138","Regression","0.570850934645853","AUC","210.141000000001"
"can05","CAN","138","Regression","0.01080172235327","COR","210.141000000001"
"can05","CAN","138","Equal-sample","0.617372743048843","AUC","2.05500000000029"
"can05","CAN","138","Equal-sample","0.0949041205834318","COR","2.05500000000029"
"can05","CAN","138","Default","0.54596618825549","AUC","29.357"
"can05","CAN","138","Default","0.00887792999094572","COR","29.357"
"can05","CAN","138","Down-sample","0.617162474647653","AUC","4.28800000000047"
"can05","CAN","138","Down-sample","0.0912479807254344","COR","4.28800000000047"
"can05","CAN","138","Weighted","0.56841629095674","AUC","38.0410000000011"
"can05","CAN","138","Weighted","0.0232522849175843","COR","38.0410000000011"
"can05","CAN","138","ranger","0.610119624333067","AUC","4.72199999999975"
"can05","CAN","138","ranger","0.0713986176158166","COR","4.72199999999975"
"can05","CAN","138","ranger-tuned","0.619370874187754","AUC","107.360000000001"
"can05","CAN","138","ranger-tuned","0.0552953194697772","COR","107.360000000001"
