"species","region","occ","model","value","metric","time"
"nsw08","NSW","129","Regression","0.81202346041056","AUC","1769.691"
"nsw08","NSW","129","Regression","0.241088081469277","COR","1769.691"
"nsw08","NSW","129","Equal-sample","0.826576246334311","AUC","3.34799999999814"
"nsw08","NSW","129","Equal-sample","0.236101751946732","COR","3.34799999999814"
"nsw08","NSW","129","Default","0.810410557184757","AUC","40.974000000002"
"nsw08","NSW","129","Default","0.24255006333222","COR","40.974000000002"
"nsw08","NSW","129","Down-sample","0.823680351906159","AUC","4.80199999999968"
"nsw08","NSW","129","Down-sample","0.246662537541407","COR","4.80199999999968"
"nsw08","NSW","129","Weighted","0.819281524926684","AUC","48.5779999999977"
"nsw08","NSW","129","Weighted","0.224920105937881","COR","48.5779999999977"
"nsw08","NSW","129","ranger","0.793035190615838","AUC","5.90599999999904"
"nsw08","NSW","129","ranger","0.232714819837131","COR","5.90599999999904"
"nsw08","NSW","129","ranger-tuned","0.813563049853374","AUC","99.862000000001"
"nsw08","NSW","129","ranger-tuned","0.229201832322761","COR","99.862000000001"
