"species","region","occ","model","value","metric","time"
"nsw15","NSW","236","Regression","0.75866717216395","AUC","1910.758"
"nsw15","NSW","236","Regression","0.278411831002314","COR","1910.758"
"nsw15","NSW","236","Equal-sample","0.814082311807574","AUC","6.24400000000605"
"nsw15","NSW","236","Equal-sample","0.418374422568736","COR","6.24400000000605"
"nsw15","NSW","236","Default","0.752580142381734","AUC","42.2220000000016"
"nsw15","NSW","236","Default","0.261723007091521","COR","42.2220000000016"
"nsw15","NSW","236","Down-sample","0.817676959153011","AUC","5.55400000000373"
"nsw15","NSW","236","Down-sample","0.436470899327409","COR","5.55400000000373"
"nsw15","NSW","236","Weighted","0.770188297737899","AUC","56.3210000000036"
"nsw15","NSW","236","Weighted","0.284949472141797","COR","56.3210000000036"
"nsw15","NSW","236","ranger","0.781891963997359","AUC","3.90099999999802"
"nsw15","NSW","236","ranger","0.387832756456222","COR","3.90099999999802"
"nsw15","NSW","236","ranger-tuned","0.8093432747799","AUC","89.6389999999956"
"nsw15","NSW","236","ranger-tuned","0.43290654059586","COR","89.6389999999956"
