region,default,regression,weighted,downsample,equalsample
NZ,54.174,276.04,63.58,10.454,8.501
NZ,51.55,418.682,60.878,9.52,8.0412
NZ,67.21,691.256,82.206,11.198,9.614799999999999
NZ,93.916,980.078,136.326,21.686,18.2514
NZ,201.046,1306.184,268.044,45.006,36.8932
NZ,87.276,492.88,113.394,13.716,11.1152
NZ,257.418,1093.378,336.08,57.748,48.8486
NZ,69.88,268.884,86.068,10.724,8.8438
NZ,48.106,244.566,62.138,10.63,9.0478
NZ,265.996,1144.49,351.206,59.956,49.2816
NZ,49.89,767.842,70.264,10.474,8.7496
NZ,48.346,1164.82,66.224,9.592,8.2512
NZ,225.316,1170.354,282.774,48.046,39.0386
NZ,42.134,913.82,57.202,6.75,6.1626
NZ,90.036,921.76,125.054,19.286,16.3694
NZ,42.64,515.034,56.292,8.49,7.4726
NZ,50.728,259.704,72.962,11.356,9.7238
NZ,211.562,1217.956,280.986,46.314,39.0506
NZ,108.098,544.642,135.016,18.278,15.2878
NZ,208.842,1036.352,257.896,45.472,37.3028
NZ,47.058,390.69,62.496,8.994,7.4398
NZ,102.502,690.912,132.576,21.566,17.9934
NZ,58.212,443.602,78.604,11.748,9.9136
NZ,332.638,2043.202,426.956,79.638,65.6712
NZ,54.472,1425.396,75.322,11.482,9.6124
NZ,289.506,1244.674,379.736,61.812,51.0418
NZ,50.438,264.654,66.544,9.47,8.1338
NZ,44.214,317.358,53.418,6.678,5.5988
NZ,39.406,256.988,52.568,6.596,5.8596
NZ,68.286,519.326,91.49,14.992,12.526
NZ,262.106,1289.17,323.26,55.906,46.4946
NZ,141.684,541.578,186.604,28.194,23.317
NZ,50.866,523.346,69.99,6.892,5.8238
NZ,70.36,1366.162,91.65,10.972,9.1892
NZ,180.922,706.858,243.12,37.086,29.4846
NZ,105.438,693.946,135.67,20.426,16.646
NZ,72.582,341.01,88.43,10.224,8.4222
NZ,242.68,817.994,301.94,46.796,37.4332
NZ,87.398,588.292,109.104,18.828,15.9108
NZ,327.042,6038.918,420.336,71.228,57.6558
SA,247.214,741.902,324.674,62.332,51.232
SA,278.93,1122.578,363.16,69.002,57.5586
SA,63.824,344.944,78.836,13.244,10.8986
SA,126.552,381.462,154.07,27.096,22.3808
SA,115.99,514.072,152.206,23.106,19.0006
SA,72.776,443.52,93.066,15.134,13.5458
