"species","model","value","metric","time"
"4pc_070","Regression","0.690172090902031","AUC","473.713000000003"
"4pc_070","Regression","0.0778547245676093","COR","473.713000000003"
"4pc_070","Equal-sample","0.844892236121285","AUC","0.793999999994412"
"4pc_070","Equal-sample","0.704767778712674","COR","0.793999999994412"
"4pc_070","Default","0.567715610929997","AUC","67.1420000000071"
"4pc_070","Default","0.0850609974296041","COR","67.1420000000071"
"4pc_070","Down-sample","0.84332980543172","AUC","7.12900000000081"
"4pc_070","Down-sample","0.707971570702083","COR","7.12900000000081"
"4pc_070","Weighted","0.578176549642882","AUC","139.828999999998"
"4pc_070","Weighted","0.107894220992545","COR","139.828999999998"
"4pc_070","ranger","0.8171226600794","AUC","5.09799999999814"
"4pc_070","ranger","0.629991200144589","COR","5.09799999999814"
"4pc_070","ranger-tuned","0.79941635407656","AUC","96.4669999999896"
"4pc_070","ranger-tuned","0.538672750533986","COR","96.4669999999896"
