"species","model","value","metric","time"
"4pc_081","Regression","0.840166879514167","AUC","480.785000000003"
"4pc_081","Regression","0.213571225182037","COR","480.785000000003"
"4pc_081","Equal-sample","0.914535378341252","AUC","1.53199999999197"
"4pc_081","Equal-sample","0.923624932743755","COR","1.53199999999197"
"4pc_081","Default","0.678831447928834","AUC","66.0999999999913"
"4pc_081","Default","0.205476220284893","COR","66.0999999999913"
"4pc_081","Down-sample","0.90868367967672","AUC","7.43700000000536"
"4pc_081","Down-sample","0.906516893526912","COR","7.43700000000536"
"4pc_081","Weighted","0.641875237926154","AUC","136.652000000002"
"4pc_081","Weighted","0.167117289927332","COR","136.652000000002"
"4pc_081","ranger","0.921809811433823","AUC","6.4600000000064"
"4pc_081","ranger","0.90958423790261","COR","6.4600000000064"
"4pc_081","ranger-tuned","0.924535754521875","AUC","102.482000000004"
"4pc_081","ranger-tuned","0.945134542509055","COR","102.482000000004"
