"species","model","value","metric","time"
"4pc_006","Regression","0.763971418600832","AUC","559.985"
"4pc_006","Regression","0.1855243287198","COR","559.985"
"4pc_006","Equal-sample","0.882240170721688","AUC","1.32800000000043"
"4pc_006","Equal-sample","0.811564546388692","COR","1.32800000000043"
"4pc_006","Default","0.621751651300102","AUC","68.1040000000003"
"4pc_006","Default","0.182685759684168","COR","68.1040000000003"
"4pc_006","Down-sample","0.880969524590659","AUC","7.39300000000003"
"4pc_006","Down-sample","0.812413375485969","COR","7.39300000000003"
"4pc_006","Weighted","0.618674777541375","AUC","148.409000000001"
"4pc_006","Weighted","0.170607134480073","COR","148.409000000001"
"4pc_006","ranger","0.861659440593473","AUC","6.15999999999985"
"4pc_006","ranger","0.742182872500215","COR","6.15999999999985"
"4pc_006","ranger-tuned","0.862603372876175","AUC","107.21"
"4pc_006","ranger-tuned","0.744841056370375","COR","107.21"
