"species","model","value","metric","time"
"4pc_001","Regression","0.776753152750678","AUC","666.808"
"4pc_001","Regression","0.152713358541729","COR","666.808"
"4pc_001","Equal-sample","0.878758042608779","AUC","3.548"
"4pc_001","Equal-sample","0.83769108109872","COR","3.548"
"4pc_001","Default","0.678070559646992","AUC","88.395"
"4pc_001","Default","0.151438235759111","COR","88.395"
"4pc_001","Down-sample","0.876327267418212","AUC","8.24900000000002"
"4pc_001","Down-sample","0.813243945416417","COR","8.24900000000002"
"4pc_001","Weighted","0.666410696268655","AUC","267.51"
"4pc_001","Weighted","0.168929667681485","COR","267.51"
"4pc_001","ranger","0.906586073734915","AUC","5.56900000000019"
"4pc_001","ranger","0.881376555158288","COR","5.56900000000019"
"4pc_001","ranger-tuned","0.90709278189212","AUC","107.376"
"4pc_001","ranger-tuned","0.910818082324434","COR","107.376"
