"species","model","value","metric","time"
"4pc_044","Regression","0.639368276449192","AUC","1501.641"
"4pc_044","Regression","0.120715698780406","COR","1501.641"
"4pc_044","Equal-sample","0.764369050383096","AUC","4.00800000000163"
"4pc_044","Equal-sample","0.612219966008258","COR","4.00800000000163"
"4pc_044","Default","0.598645228697491","AUC","99.5090000000055"
"4pc_044","Default","0.113396158373076","COR","99.5090000000055"
"4pc_044","Down-sample","0.755527726182184","AUC","8.67499999999563"
"4pc_044","Down-sample","0.57189685387369","COR","8.67499999999563"
"4pc_044","Weighted","0.613029370791728","AUC","303.912000000004"
"4pc_044","Weighted","0.122993591831447","COR","303.912000000004"
"4pc_044","ranger","0.79401342775327","AUC","5.43799999999464"
"4pc_044","ranger","0.598538401185761","COR","5.43799999999464"
"4pc_044","ranger-tuned","0.730241177153471","AUC","107.867999999995"
"4pc_044","ranger-tuned","0.48825314486388","COR","107.867999999995"
