"species","model","value","metric","time"
"4pc_099","Regression","0.75532610802429","AUC","393.190000000002"
"4pc_099","Regression","0.217108043211623","COR","393.190000000002"
"4pc_099","Equal-sample","0.836281893903993","AUC","0.698999999993248"
"4pc_099","Equal-sample","0.784986152533965","COR","0.698999999993248"
"4pc_099","Default","0.605558841167416","AUC","60.5020000000077"
"4pc_099","Default","0.230993005151749","COR","60.5020000000077"
"4pc_099","Down-sample","0.829696657952888","AUC","7.0109999999986"
"4pc_099","Down-sample","0.783858696221614","COR","7.0109999999986"
"4pc_099","Weighted","0.563356882059259","AUC","120.08600000001"
"4pc_099","Weighted","0.170623064237794","COR","120.08600000001"
"4pc_099","ranger","0.836301566160068","AUC","5.33800000000338"
"4pc_099","ranger","0.831007200308791","COR","5.33800000000338"
"4pc_099","ranger-tuned","0.835697006669513","AUC","105.288"
"4pc_099","ranger-tuned","0.830230386001036","COR","105.288"
