"species","model","value","metric","time"
"4pc_057","Regression","0.758052421266465","AUC","593.030999999995"
"4pc_057","Regression","0.153553511127789","COR","593.030999999995"
"4pc_057","Equal-sample","0.852124272873878","AUC","2.14600000000064"
"4pc_057","Equal-sample","0.780553602440652","COR","2.14600000000064"
"4pc_057","Default","0.629097733212643","AUC","79.1109999999971"
"4pc_057","Default","0.152238027425884","COR","79.1109999999971"
"4pc_057","Down-sample","0.855466013628125","AUC","7.95799999999872"
"4pc_057","Down-sample","0.783049469737583","COR","7.95799999999872"
"4pc_057","Weighted","0.615621737460768","AUC","208.644"
"4pc_057","Weighted","0.176916662610754","COR","208.644"
"4pc_057","ranger","0.894112730842239","AUC","5.1449999999968"
"4pc_057","ranger","0.779849066594457","COR","5.1449999999968"
"4pc_057","ranger-tuned","0.895741145995157","AUC","104.467000000004"
"4pc_057","ranger-tuned","0.830561369918986","COR","104.467000000004"
