"species","model","value","metric","time"
"4pc_004","Regression","0.820891827844867","AUC","384.952"
"4pc_004","Regression","0.26651940351225","COR","384.952"
"4pc_004","Equal-sample","0.889219746129318","AUC","0.833000000000084"
"4pc_004","Equal-sample","0.661698724764811","COR","0.833000000000084"
"4pc_004","Default","0.693354881183488","AUC","60.4519999999998"
"4pc_004","Default","0.248002458497094","COR","60.4519999999998"
"4pc_004","Down-sample","0.88143065142364","AUC","6.96599999999989"
"4pc_004","Down-sample","0.682745278143893","COR","6.96599999999989"
"4pc_004","Weighted","0.6285886869667","AUC","99.5720000000001"
"4pc_004","Weighted","0.247635958792639","COR","99.5720000000001"
"4pc_004","ranger","0.857944468411472","AUC","5.34699999999975"
"4pc_004","ranger","0.594534169210075","COR","5.34699999999975"
"4pc_004","ranger-tuned","0.868911440358068","AUC","108.072"
"4pc_004","ranger-tuned","0.679013587290604","COR","108.072"
