"species","model","value","metric","time"
"4pc_030","Regression","0.7850469729995","AUC","707.190999999999"
"4pc_030","Regression","0.157974256411636","COR","707.190999999999"
"4pc_030","Equal-sample","0.887594352993489","AUC","3.89400000000023"
"4pc_030","Equal-sample","0.832400309403494","COR","3.89400000000023"
"4pc_030","Default","0.68190260181733","AUC","94.0260000000017"
"4pc_030","Default","0.14317543166119","COR","94.0260000000017"
"4pc_030","Down-sample","0.895020147958072","AUC","8.58300000000236"
"4pc_030","Down-sample","0.807928192810642","COR","8.58300000000236"
"4pc_030","Weighted","0.667698543582865","AUC","294.573"
"4pc_030","Weighted","0.142166721671237","COR","294.573"
"4pc_030","ranger","0.93083694880929","AUC","4.40500000000247"
"4pc_030","ranger","0.96592262044433","COR","4.40500000000247"
"4pc_030","ranger-tuned","0.918852024320369","AUC","106.120999999999"
"4pc_030","ranger-tuned","0.913204347863614","COR","106.120999999999"
