"species","model","value","metric","time"
"4pc_067","Regression","0.808544537692742","AUC","413.970000000001"
"4pc_067","Regression","0.164921111199395","COR","413.970000000001"
"4pc_067","Equal-sample","0.853891427427132","AUC","0.820999999996275"
"4pc_067","Equal-sample","0.828083945720591","COR","0.820999999996275"
"4pc_067","Default","0.621167828730589","AUC","57.0389999999898"
"4pc_067","Default","0.145144801220555","COR","57.0389999999898"
"4pc_067","Down-sample","0.862578962698659","AUC","7.08699999999953"
"4pc_067","Down-sample","0.847257211487462","COR","7.08699999999953"
"4pc_067","Weighted","0.586817734976664","AUC","89.44200000001"
"4pc_067","Weighted","0.153790365461197","COR","89.44200000001"
"4pc_067","ranger","0.865591560321135","AUC","4.37099999999919"
"4pc_067","ranger","0.835580234326588","COR","4.37099999999919"
"4pc_067","ranger-tuned","0.866348236878994","AUC","103.767999999996"
"4pc_067","ranger-tuned","0.837111980170997","COR","103.767999999996"
