"species","model","value","metric","time"
"4pc_038","Regression","0.652473091920151","AUC","504.202000000005"
"4pc_038","Regression","0.116591614012484","COR","504.202000000005"
"4pc_038","Equal-sample","0.716909190350982","AUC","2.10599999999977"
"4pc_038","Equal-sample","0.608287430235533","COR","2.10599999999977"
"4pc_038","Default","0.573675189905472","AUC","82.0800000000017"
"4pc_038","Default","0.114151177207313","COR","82.0800000000017"
"4pc_038","Down-sample","0.724990895160901","AUC","7.84300000000076"
"4pc_038","Down-sample","0.616553562742586","COR","7.84300000000076"
"4pc_038","Weighted","0.560866169426191","AUC","234.202000000005"
"4pc_038","Weighted","0.120484393780715","COR","234.202000000005"
"4pc_038","ranger","0.787235911661623","AUC","5.375"
"4pc_038","ranger","0.786248537498516","COR","5.375"
"4pc_038","ranger-tuned","0.767511933899827","AUC","114.714"
"4pc_038","ranger-tuned","0.731737598636785","COR","114.714"
