"species","model","value","metric","time"
"4pc_087","Regression","0.767961236334076","AUC","370.892000000007"
"4pc_087","Regression","0.127519884167593","COR","370.892000000007"
"4pc_087","Equal-sample","0.82152721763824","AUC","0.764999999999418"
"4pc_087","Equal-sample","0.722517298554122","COR","0.764999999999418"
"4pc_087","Default","0.596682951208795","AUC","59.6719999999914"
"4pc_087","Default","0.124649604473996","COR","59.6719999999914"
"4pc_087","Down-sample","0.82852183817046","AUC","7.125"
"4pc_087","Down-sample","0.744493714427111","COR","7.125"
"4pc_087","Weighted","0.578427929816518","AUC","114.493000000002"
"4pc_087","Weighted","0.146807194991527","COR","114.493000000002"
"4pc_087","ranger","0.821056434398234","AUC","5.1929999999993"
"4pc_087","ranger","0.724516371333324","COR","5.1929999999993"
"4pc_087","ranger-tuned","0.802101046452982","AUC","101.637000000002"
"4pc_087","ranger-tuned","0.598572115197485","COR","101.637000000002"
