"species","model","value","metric","time"
"4pc_026","Regression","0.860252161449059","AUC","373.360000000001"
"4pc_026","Regression","0.181320707741024","COR","373.360000000001"
"4pc_026","Equal-sample","0.935820446169029","AUC","0.61699999999837"
"4pc_026","Equal-sample","0.846722452631269","COR","0.61699999999837"
"4pc_026","Default","0.63887754757567","AUC","58.7150000000001"
"4pc_026","Default","0.181205576080022","COR","58.7150000000001"
"4pc_026","Down-sample","0.936475340658728","AUC","6.97299999999814"
"4pc_026","Down-sample","0.861177739867328","COR","6.97299999999814"
"4pc_026","Weighted","0.607065641680942","AUC","74.1779999999999"
"4pc_026","Weighted","0.171742213969917","COR","74.1779999999999"
"4pc_026","ranger","0.926592686625805","AUC","6.08699999999953"
"4pc_026","ranger","0.825017251448448","COR","6.08699999999953"
"4pc_026","ranger-tuned","0.927435588595039","AUC","100.598000000002"
"4pc_026","ranger-tuned","0.823190165385177","COR","100.598000000002"
