"species","model","value","metric"
"4pc_016","Regression","0.0012340992824241","AUC"
"4pc_016","Regression","0.00383827783223386","COR"
"4pc_016","Equal-sample","0.00213175021081539","AUC"
"4pc_016","Equal-sample","0.00664041790516281","COR"
"4pc_016","Default","0.00506982993514943","AUC"
"4pc_016","Default","0.00409343355158875","COR"
"4pc_016","Down-sample","0.000716561482641993","AUC"
"4pc_016","Down-sample","0.00190222788639026","COR"
"4pc_016","Weighted","0.0050859200179459","AUC"
"4pc_016","Weighted","0.00637051109353345","COR"
"4pc_016","Ranger","0.000408246060419698","AUC"
"4pc_016","Ranger","0.000368848378795518","COR"
"4pc_016","Ranger-tuned","0.00590263205438424","AUC"
"4pc_016","Ranger-tuned","0.0130134414748227","COR"
