"species","model","value","metric"
"4pc_078","Regression","0.00269570205109677","AUC"
"4pc_078","Regression","0.00236707673193163","COR"
"4pc_078","Equal-sample","0.00592439370359325","AUC"
"4pc_078","Equal-sample","0.0169022816254788","COR"
"4pc_078","Default","0.0042837334648318","AUC"
"4pc_078","Default","0.00227250667212061","COR"
"4pc_078","Down-sample","0.00125793593286836","AUC"
"4pc_078","Down-sample","0.00421828759982756","COR"
"4pc_078","Weighted","0.00260639345382049","AUC"
"4pc_078","Weighted","0.00314426663092457","COR"
"4pc_078","Ranger","0.000530321944146796","AUC"
"4pc_078","Ranger","0.0016034899273276","COR"
"4pc_078","Ranger-tuned","0.00108946623816725","AUC"
"4pc_078","Ranger-tuned","0.016957516662769","COR"
