"species","model","value","metric"
"4pc_055","Regression","0.00347783338587156","AUC"
"4pc_055","Regression","0.00262097511270992","COR"
"4pc_055","Equal-sample","0.00753614990827701","AUC"
"4pc_055","Equal-sample","0.0187010741429883","COR"
"4pc_055","Default","0.00574939256994103","AUC"
"4pc_055","Default","0.00188482965661168","COR"
"4pc_055","Down-sample","0.00145303288714241","AUC"
"4pc_055","Down-sample","0.00328157214528754","COR"
"4pc_055","Weighted","0.00381859287378841","AUC"
"4pc_055","Weighted","0.00138280732746045","COR"
"4pc_055","Ranger","0.00130019383941585","AUC"
"4pc_055","Ranger","0.00416603142195484","COR"
"4pc_055","Ranger-tuned","0.00816699832048263","AUC"
"4pc_055","Ranger-tuned","0.0576057883486789","COR"
