"species","model","value","metric"
"4pc_075","Regression","0.00159889788958851","AUC"
"4pc_075","Regression","0.00267406327325442","COR"
"4pc_075","Equal-sample","0.00602000419941642","AUC"
"4pc_075","Equal-sample","0.0180643354868527","COR"
"4pc_075","Default","0.00622556888903306","AUC"
"4pc_075","Default","0.00432565756034906","COR"
"4pc_075","Down-sample","0.00124614993619179","AUC"
"4pc_075","Down-sample","0.00267577267763782","COR"
"4pc_075","Weighted","0.00379151738927176","AUC"
"4pc_075","Weighted","0.00328853755500802","COR"
"4pc_075","Ranger","0.000696037222316336","AUC"
"4pc_075","Ranger","0.00196716910091672","COR"
"4pc_075","Ranger-tuned","0.00586248120637706","AUC"
"4pc_075","Ranger-tuned","0.0626630969590235","COR"
