"species","model","value","metric"
"4pc_071","Regression","0.00375277118427843","AUC"
"4pc_071","Regression","0.00242034295486982","COR"
"4pc_071","Equal-sample","0.00576461478721506","AUC"
"4pc_071","Equal-sample","0.0156617170433783","COR"
"4pc_071","Default","0.00486707059728988","AUC"
"4pc_071","Default","0.00293939119165861","COR"
"4pc_071","Down-sample","0.00141864129875295","AUC"
"4pc_071","Down-sample","0.00336265952257727","COR"
"4pc_071","Weighted","0.00300043330313313","AUC"
"4pc_071","Weighted","0.00181540619064626","COR"
"4pc_071","Ranger","0.00176273552159553","AUC"
"4pc_071","Ranger","0.00134535121798449","COR"
"4pc_071","Ranger-tuned","0.0108138083971432","AUC"
"4pc_071","Ranger-tuned","0.0344922256078019","COR"
