"species","model","value","metric"
"4pc_014","Regression","0.00559761788815157","AUC"
"4pc_014","Regression","0.00322951961157194","COR"
"4pc_014","Equal-sample","0.0131948723245705","AUC"
"4pc_014","Equal-sample","0.0249475940687911","COR"
"4pc_014","Default","0.00336565796088513","AUC"
"4pc_014","Default","0.00431025447005655","COR"
"4pc_014","Down-sample","0.00179657160578434","AUC"
"4pc_014","Down-sample","0.00445608018056643","COR"
"4pc_014","Weighted","0.00358500150563711","AUC"
"4pc_014","Weighted","0.00252621677958736","COR"
"4pc_014","Ranger","0.00158550437415755","AUC"
"4pc_014","Ranger","0.00365155710741817","COR"
"4pc_014","Ranger-tuned","0.00788814453265566","AUC"
"4pc_014","Ranger-tuned","0.0152687088924251","COR"
