"species","model","value","metric"
"4pc_053","Regression","0.00316821135166128","AUC"
"4pc_053","Regression","0.00261995439606542","COR"
"4pc_053","Equal-sample","0.0101666879784727","AUC"
"4pc_053","Equal-sample","0.0227175176216023","COR"
"4pc_053","Default","0.00433638052759757","AUC"
"4pc_053","Default","0.00251583326043528","COR"
"4pc_053","Down-sample","0.00170953769635218","AUC"
"4pc_053","Down-sample","0.00375360149641681","COR"
"4pc_053","Weighted","0.00238260312867667","AUC"
"4pc_053","Weighted","0.00265358765299238","COR"
"4pc_053","Ranger","0.000919115302980031","AUC"
"4pc_053","Ranger","0.00150734379122721","COR"
"4pc_053","Ranger-tuned","0.00164451261748952","AUC"
"4pc_053","Ranger-tuned","0.00175971606112247","COR"
