"species","model","value","metric"
"4pc_020","Regression","0.00097706652214001","AUC"
"4pc_020","Regression","0.00691477408479993","COR"
"4pc_020","Equal-sample","0.0012541729036872","AUC"
"4pc_020","Equal-sample","0.00450480582025648","COR"
"4pc_020","Default","0.00325417510571428","AUC"
"4pc_020","Default","0.00478329020175037","COR"
"4pc_020","Down-sample","0.000614117407131783","AUC"
"4pc_020","Down-sample","0.00173527780287795","COR"
"4pc_020","Weighted","0.0027420579961312","AUC"
"4pc_020","Weighted","0.00267861029500999","COR"
"4pc_020","Ranger","0.000354371844336753","AUC"
"4pc_020","Ranger","0.000534284363167274","COR"
"4pc_020","Ranger-tuned","0.000985078366167143","AUC"
"4pc_020","Ranger-tuned","0.0206766794044959","COR"
