"species","model","value","metric"
"4pc_004","Regression","0.00302061498000599","AUC"
"4pc_004","Regression","0.00671652633964204","COR"
"4pc_004","Equal-sample","0.00588315480961416","AUC"
"4pc_004","Equal-sample","0.0151061037918924","COR"
"4pc_004","Default","0.00539868594414817","AUC"
"4pc_004","Default","0.00502933197483864","COR"
"4pc_004","Down-sample","0.000835175371225736","AUC"
"4pc_004","Down-sample","0.00208391175294754","COR"
"4pc_004","Weighted","0.00476207637235805","AUC"
"4pc_004","Weighted","0.00518783139665414","COR"
"4pc_004","Ranger","0.00073163754141028","AUC"
"4pc_004","Ranger","0.00231515861420984","COR"
"4pc_004","Ranger-tuned","0.000990859869679093","AUC"
"4pc_004","Ranger-tuned","0.00409926661756777","COR"
