"species","model","value","metric"
"4pc_028","Regression","0.00345509641114534","AUC"
"4pc_028","Regression","0.00179134026436857","COR"
"4pc_028","Equal-sample","0.00796803869756508","AUC"
"4pc_028","Equal-sample","0.0211026208633756","COR"
"4pc_028","Default","0.0039636885034918","AUC"
"4pc_028","Default","0.00247041059323267","COR"
"4pc_028","Down-sample","0.00174036060048854","AUC"
"4pc_028","Down-sample","0.00406470674577191","COR"
"4pc_028","Weighted","0.0049582767864294","AUC"
"4pc_028","Weighted","0.00106724233281568","COR"
"4pc_028","Ranger","0.000777084806130392","AUC"
"4pc_028","Ranger","0.00176053454925778","COR"
"4pc_028","Ranger-tuned","0.00249016802135279","AUC"
"4pc_028","Ranger-tuned","0.0113988345455062","COR"
