"species","model","value","metric"
"4pc_074","Regression","0.00472986141432673","AUC"
"4pc_074","Regression","0.00380945684380429","COR"
"4pc_074","Equal-sample","0.00987828886784501","AUC"
"4pc_074","Equal-sample","0.0186202207623076","COR"
"4pc_074","Default","0.00255278255154568","AUC"
"4pc_074","Default","0.00296747188796993","COR"
"4pc_074","Down-sample","0.000925655753117262","AUC"
"4pc_074","Down-sample","0.00194701079989534","COR"
"4pc_074","Weighted","0.00301264849170357","AUC"
"4pc_074","Weighted","0.00246514980532828","COR"
"4pc_074","Ranger","0.00128343969467771","AUC"
"4pc_074","Ranger","0.00260323701086678","COR"
"4pc_074","Ranger-tuned","0.00930107126458123","AUC"
"4pc_074","Ranger-tuned","0.0172803605086775","COR"
