"species","model","value","metric"
"4pc_012","Regression","0.00311555111398068","AUC"
"4pc_012","Regression","0.00156331561794231","COR"
"4pc_012","Equal-sample","0.01125274527147","AUC"
"4pc_012","Equal-sample","0.0267152327684076","COR"
"4pc_012","Default","0.00405085418915588","AUC"
"4pc_012","Default","0.00336106951242795","COR"
"4pc_012","Down-sample","0.00200487991312204","AUC"
"4pc_012","Down-sample","0.00469320180187557","COR"
"4pc_012","Weighted","0.00343886616827749","AUC"
"4pc_012","Weighted","0.00259987988870057","COR"
"4pc_012","Ranger","0.00122869859638418","AUC"
"4pc_012","Ranger","0.00357978425499571","COR"
"4pc_012","Ranger-tuned","0.00583712389390759","AUC"
"4pc_012","Ranger-tuned","0.0609034481184396","COR"
