"species","model","value","metric"
"4pc_066","Regression","0.00435179930159523","AUC"
"4pc_066","Regression","0.00201530990543792","COR"
"4pc_066","Equal-sample","0.00352155419830445","AUC"
"4pc_066","Equal-sample","0.00767623900064751","COR"
"4pc_066","Default","0.00342555813491565","AUC"
"4pc_066","Default","0.00253215725608395","COR"
"4pc_066","Down-sample","0.000708019606777607","AUC"
"4pc_066","Down-sample","0.00201415341814358","COR"
"4pc_066","Weighted","0.00276130887863915","AUC"
"4pc_066","Weighted","0.0022855289758765","COR"
"4pc_066","Ranger","0.00141736841801502","AUC"
"4pc_066","Ranger","0.000872417944563655","COR"
"4pc_066","Ranger-tuned","0.0105156685823739","AUC"
"4pc_066","Ranger-tuned","0.014492213759665","COR"
