"species","model","value","metric"
"4pc_041","Regression","0.00637450057684181","AUC"
"4pc_041","Regression","0.0020514643022983","COR"
"4pc_041","Equal-sample","0.00424204110573892","AUC"
"4pc_041","Equal-sample","0.0112440996777757","COR"
"4pc_041","Default","0.00284219903584449","AUC"
"4pc_041","Default","0.00180147683654988","COR"
"4pc_041","Down-sample","0.00104011647670682","AUC"
"4pc_041","Down-sample","0.00373336346998626","COR"
"4pc_041","Weighted","0.00422382377077951","AUC"
"4pc_041","Weighted","0.00134851415383969","COR"
"4pc_041","Ranger","0.000628372682442058","AUC"
"4pc_041","Ranger","0.00196484593653588","COR"
"4pc_041","Ranger-tuned","0.00460953172239671","AUC"
"4pc_041","Ranger-tuned","0.0183076707832126","COR"
