"species","model","value","metric"
"4pc_054","Regression","0.00164050465634998","AUC"
"4pc_054","Regression","0.00206548267565049","COR"
"4pc_054","Equal-sample","0.00233859814013586","AUC"
"4pc_054","Equal-sample","0.00844540685656541","COR"
"4pc_054","Default","0.00417965189964543","AUC"
"4pc_054","Default","0.0046382619283613","COR"
"4pc_054","Down-sample","0.000293207795077222","AUC"
"4pc_054","Down-sample","0.00144184156765701","COR"
"4pc_054","Weighted","0.00327788379161865","AUC"
"4pc_054","Weighted","0.00648453359844319","COR"
"4pc_054","Ranger","0.000340115374322963","AUC"
"4pc_054","Ranger","0.000875944831051545","COR"
"4pc_054","Ranger-tuned","0.000651760099060498","AUC"
"4pc_054","Ranger-tuned","0.00261060997401296","COR"
