"species","model","value","metric"
"4pc_058","Regression","0.00397972278911228","AUC"
"4pc_058","Regression","0.00227742693316757","COR"
"4pc_058","Equal-sample","0.00751224216779295","AUC"
"4pc_058","Equal-sample","0.0222562047004809","COR"
"4pc_058","Default","0.00446415232816961","AUC"
"4pc_058","Default","0.00274607014213866","COR"
"4pc_058","Down-sample","0.00108465492807306","AUC"
"4pc_058","Down-sample","0.00278558686143066","COR"
"4pc_058","Weighted","0.00428395471539102","AUC"
"4pc_058","Weighted","0.00233824362652721","COR"
"4pc_058","Ranger","0.000945570031007148","AUC"
"4pc_058","Ranger","0.00325336952013473","COR"
"4pc_058","Ranger-tuned","0.00606431540301829","AUC"
"4pc_058","Ranger-tuned","0.073647313360437","COR"
