"species","model","value","metric"
"4pc_084","Regression","0.00426246639311456","AUC"
"4pc_084","Regression","0.00110625346971074","COR"
"4pc_084","Equal-sample","0.0107265969062381","AUC"
"4pc_084","Equal-sample","0.0241190067368614","COR"
"4pc_084","Default","0.0059110922483949","AUC"
"4pc_084","Default","0.00187690181564309","COR"
"4pc_084","Down-sample","0.00151359845074874","AUC"
"4pc_084","Down-sample","0.0027785587430468","COR"
"4pc_084","Weighted","0.00450565781841485","AUC"
"4pc_084","Weighted","0.00160409608286351","COR"
"4pc_084","Ranger","0.000997412615746351","AUC"
"4pc_084","Ranger","0.00150003946053883","COR"
"4pc_084","Ranger-tuned","0.00252053720242968","AUC"
"4pc_084","Ranger-tuned","0.00813941568179141","COR"
