"species","model","value","metric"
"4pc_011","Regression","0.00217672070093679","AUC"
"4pc_011","Regression","0.00327794190367969","COR"
"4pc_011","Equal-sample","0.00354989256782036","AUC"
"4pc_011","Equal-sample","0.00991889810830567","COR"
"4pc_011","Default","0.00361123926756898","AUC"
"4pc_011","Default","0.00463836092963301","COR"
"4pc_011","Down-sample","0.000506014799308121","AUC"
"4pc_011","Down-sample","0.00152687648872238","COR"
"4pc_011","Weighted","0.00338432275968832","AUC"
"4pc_011","Weighted","0.0035683233150361","COR"
"4pc_011","Ranger","0.000493207540611896","AUC"
"4pc_011","Ranger","0.001569981407192","COR"
"4pc_011","Ranger-tuned","0.00267895101141545","AUC"
"4pc_011","Ranger-tuned","0.0237582516214387","COR"
