"species","model","value","metric"
"4pc_044","Regression","0.00615140083217263","AUC"
"4pc_044","Regression","0.0017401065980119","COR"
"4pc_044","Equal-sample","0.0107275809077908","AUC"
"4pc_044","Equal-sample","0.0254664248430998","COR"
"4pc_044","Default","0.00473084176399306","AUC"
"4pc_044","Default","0.00228041162245308","COR"
"4pc_044","Down-sample","0.00142282771293286","AUC"
"4pc_044","Down-sample","0.00294870444941679","COR"
"4pc_044","Weighted","0.00309664664623133","AUC"
"4pc_044","Weighted","0.0017600077180413","COR"
"4pc_044","Ranger","0.00249936323609864","AUC"
"4pc_044","Ranger","0.00410054233081053","COR"
"4pc_044","Ranger-tuned","0.0284888441716497","AUC"
"4pc_044","Ranger-tuned","0.0536951379312512","COR"
