"species","model","value","metric"
"4pc_077","Regression","0.00269985863627056","AUC"
"4pc_077","Regression","0.00344546226034778","COR"
"4pc_077","Equal-sample","0.00237420050962804","AUC"
"4pc_077","Equal-sample","0.00548408361896917","COR"
"4pc_077","Default","0.00342535192167362","AUC"
"4pc_077","Default","0.00275792311396337","COR"
"4pc_077","Down-sample","0.000794705794675226","AUC"
"4pc_077","Down-sample","0.00223675239901541","COR"
"4pc_077","Weighted","0.00257410826688398","AUC"
"4pc_077","Weighted","0.00394005417655189","COR"
"4pc_077","Ranger","0.000817426354221121","AUC"
"4pc_077","Ranger","0.00106385814851611","COR"
"4pc_077","Ranger-tuned","0.00129257874699187","AUC"
"4pc_077","Ranger-tuned","0.0129822659881511","COR"
