"species","model","value","metric"
"4pc_056","Regression","0.00333036127268921","AUC"
"4pc_056","Regression","0.00300854829089521","COR"
"4pc_056","Equal-sample","0.00497855616615752","AUC"
"4pc_056","Equal-sample","0.0100314193451968","COR"
"4pc_056","Default","0.00365401100040949","AUC"
"4pc_056","Default","0.0021347811957364","COR"
"4pc_056","Down-sample","0.00134699219033052","AUC"
"4pc_056","Down-sample","0.00284758358348342","COR"
"4pc_056","Weighted","0.00370846914360395","AUC"
"4pc_056","Weighted","0.00234988171146667","COR"
"4pc_056","Ranger","0.000773367291556201","AUC"
"4pc_056","Ranger","0.000849440356383925","COR"
"4pc_056","Ranger-tuned","0.00220828959780017","AUC"
"4pc_056","Ranger-tuned","0.0473579231509523","COR"
