"species","model","value","metric"
"4pc_022","Regression","0.00201880430647045","AUC"
"4pc_022","Regression","0.00431748297883905","COR"
"4pc_022","Equal-sample","0.00517567223889931","AUC"
"4pc_022","Equal-sample","0.0147401194868713","COR"
"4pc_022","Default","0.0044834115005697","AUC"
"4pc_022","Default","0.00657300010546904","COR"
"4pc_022","Down-sample","0.000757506597972868","AUC"
"4pc_022","Down-sample","0.0026774411920705","COR"
"4pc_022","Weighted","0.00316624591616098","AUC"
"4pc_022","Weighted","0.00522348620029495","COR"
"4pc_022","Ranger","0.000652663257814057","AUC"
"4pc_022","Ranger","0.0015156463028334","COR"
"4pc_022","Ranger-tuned","0.000500286402680293","AUC"
"4pc_022","Ranger-tuned","0.00828866477482497","COR"
