"species","model","value","metric"
"4pc_079","Regression","0.00154521085593426","AUC"
"4pc_079","Regression","0.00336122686706582","COR"
"4pc_079","Equal-sample","0.00396179624929541","AUC"
"4pc_079","Equal-sample","0.0101664873786509","COR"
"4pc_079","Default","0.00290773676744429","AUC"
"4pc_079","Default","0.00277379562597821","COR"
"4pc_079","Down-sample","0.000672677208960432","AUC"
"4pc_079","Down-sample","0.00186997626158791","COR"
"4pc_079","Weighted","0.00407021378674389","AUC"
"4pc_079","Weighted","0.00269542625403656","COR"
"4pc_079","Ranger","0.00142319326079604","AUC"
"4pc_079","Ranger","0.00476179078667648","COR"
"4pc_079","Ranger-tuned","0.00562710739055288","AUC"
"4pc_079","Ranger-tuned","0.0394078697997817","COR"
