"species","model","value","metric"
"4pc_067","Regression","0.00210113657517456","AUC"
"4pc_067","Regression","0.00434744411018062","COR"
"4pc_067","Equal-sample","0.00184000114150979","AUC"
"4pc_067","Equal-sample","0.00579752039839579","COR"
"4pc_067","Default","0.00341533821636857","AUC"
"4pc_067","Default","0.00376121957747787","COR"
"4pc_067","Down-sample","0.000652020313528055","AUC"
"4pc_067","Down-sample","0.00224553737296173","COR"
"4pc_067","Weighted","0.0043102641275928","AUC"
"4pc_067","Weighted","0.00410679187627285","COR"
"4pc_067","Ranger","0.00102326057752494","AUC"
"4pc_067","Ranger","0.00157879940860697","COR"
"4pc_067","Ranger-tuned","0.00138967275116291","AUC"
"4pc_067","Ranger-tuned","0.00834168143031984","COR"
