"species","model","value","metric"
"4pc_086","Regression","0.00305833121867861","AUC"
"4pc_086","Regression","0.00152405528105994","COR"
"4pc_086","Equal-sample","0.00616879309687209","AUC"
"4pc_086","Equal-sample","0.00975477058826183","COR"
"4pc_086","Default","0.00575833140561385","AUC"
"4pc_086","Default","0.00307678720149956","COR"
"4pc_086","Down-sample","0.0013995577211812","AUC"
"4pc_086","Down-sample","0.00327256428050847","COR"
"4pc_086","Weighted","0.00300877397262239","AUC"
"4pc_086","Weighted","0.00197930101112163","COR"
"4pc_086","Ranger","0.00175004775335801","AUC"
"4pc_086","Ranger","0.00105635278352581","COR"
"4pc_086","Ranger-tuned","0.00466451671181564","AUC"
"4pc_086","Ranger-tuned","0.0430236263373626","COR"
