"species","model","value","metric"
"4pc_100","Regression","0.00340928674995498","AUC"
"4pc_100","Regression","0.00331973590076615","COR"
"4pc_100","Equal-sample","0.012094525759802","AUC"
"4pc_100","Equal-sample","0.0242623656673836","COR"
"4pc_100","Default","0.00502330776036373","AUC"
"4pc_100","Default","0.00305371861584722","COR"
"4pc_100","Down-sample","0.0010381597112606","AUC"
"4pc_100","Down-sample","0.00247869118870086","COR"
"4pc_100","Weighted","0.00251875407067508","AUC"
"4pc_100","Weighted","0.0031510342134129","COR"
"4pc_100","Ranger","0.00139550023684527","AUC"
"4pc_100","Ranger","0.00266146287082592","COR"
"4pc_100","Ranger-tuned","0.00455889690621835","AUC"
"4pc_100","Ranger-tuned","0.023601684507953","COR"
