"species","model","value","metric"
"4pc_090","Regression","0.00331517074073499","AUC"
"4pc_090","Regression","0.00338059274042575","COR"
"4pc_090","Equal-sample","0.00906485479486231","AUC"
"4pc_090","Equal-sample","0.0219399850410456","COR"
"4pc_090","Default","0.00384879395124407","AUC"
"4pc_090","Default","0.00351047663076765","COR"
"4pc_090","Down-sample","0.00107126676163809","AUC"
"4pc_090","Down-sample","0.00346066231343931","COR"
"4pc_090","Weighted","0.00198795072576706","AUC"
"4pc_090","Weighted","0.00170707224777494","COR"
"4pc_090","Ranger","0.00176316278129502","AUC"
"4pc_090","Ranger","0.00512007005769709","COR"
"4pc_090","Ranger-tuned","0.00139826379278506","AUC"
"4pc_090","Ranger-tuned","0.0226760716253942","COR"
