"species","model","value","metric"
"4pc_049","Regression","0.00390774768308052","AUC"
"4pc_049","Regression","0.00155885372434379","COR"
"4pc_049","Equal-sample","0.00720968024647043","AUC"
"4pc_049","Equal-sample","0.0132029455906841","COR"
"4pc_049","Default","0.00291143387820511","AUC"
"4pc_049","Default","0.000891200598056313","COR"
"4pc_049","Down-sample","0.00119890397091655","AUC"
"4pc_049","Down-sample","0.00238428258441263","COR"
"4pc_049","Weighted","0.0020686616705596","AUC"
"4pc_049","Weighted","0.00121214897005216","COR"
"4pc_049","Ranger","0.000673837857466291","AUC"
"4pc_049","Ranger","0.00171203351269855","COR"
"4pc_049","Ranger-tuned","0.0022363734820211","AUC"
"4pc_049","Ranger-tuned","0.0293928184238988","COR"
