"species","model","value","metric"
"4pc_057","Regression","0.0043983017279767","AUC"
"4pc_057","Regression","0.00252050970066755","COR"
"4pc_057","Equal-sample","0.00789999417889021","AUC"
"4pc_057","Equal-sample","0.0187720265785803","COR"
"4pc_057","Default","0.00287179235762533","AUC"
"4pc_057","Default","0.00261224518695813","COR"
"4pc_057","Down-sample","0.00193555570363451","AUC"
"4pc_057","Down-sample","0.00412051786352813","COR"
"4pc_057","Weighted","0.00177252870811939","AUC"
"4pc_057","Weighted","0.00458486772450092","COR"
"4pc_057","Ranger","0.00134905469926754","AUC"
"4pc_057","Ranger","0.00380711943495339","COR"
"4pc_057","Ranger-tuned","0.0013455389346658","AUC"
"4pc_057","Ranger-tuned","0.0217898931514864","COR"
